單字,讀音,中文
藍,あい,深藍色
相寄る,あいよる,互相靠近
木灰汁,あく,草木灰水
足がかり,あしがかり,立足點
あたえる,,送給、授予、賜予
余り,あまり,過於、過分、…之極
あらゆる,,所有的、全部的、一切的
あらわす,,露出、現出
生き生き,いきいき,生氣勃勃
一貫,いっかん,一貫、始終
一頁一行,いっぺーじいちぎょう,一頁一行
打ち明ける,うちあける,敞開心扉
産み出す,うみだす,產出
運行,うんこう,運行
永劫,えいごう,永恆
奥,おく,深處
開示,かいじ,發布、展示
拡張,かくちょう,擴張、擴充
過失,かしつ,過失、過錯
甕,かめ,大陶罐
刈取り,かりとり,收割
苅安,かりやす,一種植物
観察,かんさつ,觀察
含蓄,がんちく,含蓄
黄檗,きはだ,關黃檗
均衡,きんこう,均衡、平衡
支子,くちなし,梔子花
蜘蛛,くも,蜘蛛
形態学,けいたいがく,形象學、形態學
顕現,けんげん,表現
芸,げい,學問、技術
現象,げんしょう,現象
原則,げんそく,原則
鉱物,こうぶつ,礦物
根底,こんてい,根源、根本
細部,さいぶ,細節、細小部分
酸化する,さんかする,氧化
山野,さんや,山野、深山原野
仕上げる,しあげる,做完、完成
思考する,しこうする,思考
絞り切る,しぼりきる,榨取
絞る,しぼる,擰、擠、榨
しまいこむ,,收起、藏起來
周期,しゅうき,周期
象徴,しょうちょう,象徵
書物,しょもつ,書、書籍
斥ける,しりぞける,打退、擊退
神性,しんせい,神性
浸透,しんとう,浸透、滲透
神秘,しんぴ,神祕
次元,じげん,次元
実践,じっせん,實踐
従来,じゅうらい,從來、歷來
受苦,じゅく,受苦、折磨
熟読,じゅくどく,熟讀、精讀
熟考,じゅっこう,深思熟慮
受肉する,じゅにくする,化身
純粋に,じゅんすいに,純粹
徐々に,じょじょに,慢慢地、漸漸地
巣,す,巢、窩
数刻,すうこく,幾個小時
蒅,すくも,藍色染料
するすると,,順利地、順暢地
生気,せいき,朝氣
石灰,せっかい,石灰
染料,せんりょう,染料
創造,そうぞう,創造、發明
絶える,たえる,斷絕
貯える,たくわえる,積蓄、儲存
保つ,たもつ,保持
直観,ちょっかん,直觀
ちりばめる,,鑲嵌
司る,つかさどる,統治、治理、管理
的確,てきかく,準確無誤
等々,とうとう,等等
戸口,とぐち,門口
入り込む,はいりこむ,闖入、衝進
発酵する,はっこうする,發酵
葉っぱ,はっぱ,葉子、大麻
幅広く,はばひろく,廣泛的範圍
漠然,ばくぜん,模糊的
引き上げる,ひきあげる,增加、提高
引きつける,ひきつける,吸引
ひたすら,,只顧、一味
引っかかる,ひっかかる,被困在裡面
紐,ひも,繩子
フィルム,,薄皮、薄膜
膨らむ,ふくらむ,鼓起
分割,ぶんかつ,分割
分析,ぶんせき,研究、分析
法則,ほうそく,規律、法則、定律
まきかえす,,重振旗鼓
幻,まぼろし,虛幻
豆粒,まめつぶ,豆子
実,み,果實
幹,みき,樹幹
瑞々しい,みずみずしい,生動的、充滿活力的、新鮮、多汁
見届けた,みとどけた,看到、確認
嬰児,みどりご,嬰兒
みのったりする,,
メタモルフォーゼ,,變態
闇,やみ,黑暗
揚梅,ようばい,楊梅
理念,りねん,理念、思想
ヴェール,,面紗
